,Unnamed: 0,Participant,Task,Trial,Cosine Error,Static Cosine Error,Moving Cosine Error,Euclidean Error,Static Euclidean Error,Moving Euclidean Error,Spatial Precision_Transition,Spatial Precision_Fixation,Spatial Precision_Pursuit,Recalibrated_Euclidean Error,Recalibrated_Static Euclidean Error,Recalibrated_Moving Euclidean Error,Recalibrated_Spatial Precision_Transition,Recalibrated_Spatial Precision_Fixation,Recalibrated_Spatial Precision_Pursuit
124,2023-08-04 14:33:40,p11,worldStabilized_walking,2,4.49640891650299,5.4674344637155965,4.206356502354071,8.3394064806439,6.234723886907982,8.968090524109803,,,,18.48338640037662,16.312265746091846,19.131915977164365,,,
125,2023-08-05 12:29:41,p12,calibration,1,4.564725564732716,4.564725564732716,,4.898136739269556,4.898136739269556,,2.520637026067382,1.307444384001085,,6.33857198726743,6.33857198726743,,2.1761918792998203,1.1289242350306508,
126,2023-08-05 12:55:34,p12,calibration,2,6.206333613397924,6.206333613397924,,6.6761196313633775,6.6761196313633775,,2.049027125675789,2.0223934413314444,,7.81661333921992,7.81661333921992,,1.7654200486315834,1.7448721074065965,
127,2023-08-05 12:17:42,p12,screenStabilized_headConstrained,1,5.513324098447613,4.429720994341128,5.837504528485009,5.76138921073994,4.818527180182158,6.043464278053625,,,1.5116652439599367,6.2032782803145725,6.507562310758646,6.112245938796678,,,1.3079364431327445
128,2023-08-05 12:45:21,p12,screenStabilized_headConstrained,2,5.419194060414066,4.573100717511544,5.671458842327961,5.732447505646307,5.042342492015759,5.938203988925067,,,1.418637169582645,6.75467017439063,6.832083186878202,6.731589296995375,,,1.2245310162399357
129,2023-08-05 12:33:50,p12,screenStabilized_walking,1,7.101923061780607,8.43537416562828,6.702995861737535,9.96261114690684,9.459424745397742,10.113148906915102,,,,21.85375480080373,22.088427032434875,21.78354814978943,,,
130,2023-08-05 12:58:28,p12,screenStabilized_walking,2,7.784591804662135,8.386280550566383,7.604502055310657,11.8293544211287,9.77744441207006,12.443505777188747,,,,21.71300259182924,20.503530870633234,22.075006137018622,,,
131,2023-08-05 12:27:34,p12,worldStabilized_bodyConstrained,1,4.889160077356671,3.814570091662583,5.209403768845836,5.517046313857182,4.6165993995906325,5.785392797310116,,,,7.672402151413045,7.940735626158216,7.592434811640187,,,
132,2023-08-05 12:53:37,p12,worldStabilized_bodyConstrained,2,4.969375039222393,4.547344613667525,5.0956334490836825,5.516592315999506,5.204872497378907,5.609849214645004,,,,7.046996777477684,7.430406954465631,6.93229234779708,,,
133,2023-08-05 12:40:29,p12,worldStabilized_sphere,1,6.9019433201680425,7.145676535225818,6.612505938855275,9.216107220822671,9.267702622853424,9.154836794270343,,,,20.51414095182229,20.701783762354008,20.291311889769368,,,
134,2023-08-05 13:00:35,p12,worldStabilized_sphere,2,5.938007219738628,6.03318833054702,5.82502705811817,7.763442326697058,7.625332594667722,7.927378844284504,,,,19.13829965963408,19.305897614538736,18.939360564769927,,,
135,2023-08-05 12:22:13,p12,worldStabilized_sphere_VR,1,5.99409260199718,6.39739451731412,5.514452784538697,7.677010647322419,7.709959436917733,7.6378252360293555,,,,19.659426650283116,20.085317482683124,19.152922234232783,,,
136,2023-08-05 12:47:55,p12,worldStabilized_sphere_VR,2,5.970572641834616,6.5211190657326,5.316239650280843,7.682609220023242,7.922653372192393,7.397313009974777,,,,18.62351832175548,19.075691200461375,18.086103819399288,,,
137,2023-08-05 12:31:46,p12,worldStabilized_walking,1,8.282637304108933,9.040189436258167,8.055896527373273,13.77586170947132,19.587884259088533,12.036281750047785,,,,26.849377632551008,31.14810256943327,25.562738482851373,,,
138,2023-08-05 12:56:45,p12,worldStabilized_walking,2,9.615236297977608,7.427482021652946,10.270046815787484,14.488423088384618,14.87799716231415,14.37182077895906,,,,25.18380769644722,24.974718549324677,25.246389575124084,,,
139,2023-08-05 18:30:23,p13,calibration,1,2.446319947214278,2.446319947214278,,2.650048259732197,2.650048259732197,,2.6157487219766318,1.309465533441429,,2.6190317954524183,2.6190317954524183,,2.507538268251903,1.2529274664904149,
