Participant,Task,Trial,Cosine Error,Static Cosine Error,Moving Cosine Error,Euclidean Error,Static Euclidean Error,Moving Euclidean Error,Spatial Precision_Transition,Spatial Precision_Fixation,Spatial Precision_Pursuit,Recalibrated_Euclidean Error,Recalibrated_Static Euclidean Error,Recalibrated_Moving Euclidean Error,Recalibrated_Spatial Precision_Transition,Recalibrated_Spatial Precision_Fixation,Recalibrated_Spatial Precision_Pursuit
p09,screenStabilized_headConstrained,1.5,1.9435843758308677,2.148304493029288,1.8823384681925592,2.0161496616774066,2.2527762504607267,1.9453583276369666,,,0.6675055449765567,2.4796681369943796,3.189889656608792,2.267191892899209,,,0.6362837182452601
p09,screenStabilized_walking,1.5,3.478507806245978,3.5839272634184254,3.4469851534672804,6.426005829478677,6.88331261967463,6.288546329353261,,,,10.210373615748347,10.624017184280978,10.085556429036632,,,
p09,worldStabilized_bodyConstrained,1.5,2.3306301128803586,2.283582992574622,2.344705151642186,2.565506096226164,2.6427625728870874,2.542393355286054,,,,3.4185442733659173,3.8389525381319665,3.292771163685216,,,
p09,worldStabilized_sphere,1.5,2.422087071005155,1.8579427042882308,3.0917063545280925,3.3905577199472137,2.36072233925322,4.612926696180138,,,,8.424699576320423,7.697146747758459,9.288268066281361,,,
p09,worldStabilized_sphere_VR,1.5,2.6634401726970403,1.891903865588659,3.5832886967112225,3.524652424026756,2.2775271345322143,5.011516294780497,,,,7.8793517074145845,7.21064409768052,8.676559205626361,,,
p09,worldStabilized_walking,1.5,5.1655957735622895,4.836596348098413,5.264469211978653,8.3200161396276,6.905131669219081,8.745049548208357,,,,11.424338293306956,9.962159836555497,11.863574360476115,,,
p10,calibration,1.5,2.011721538531517,2.011721538531517,,2.102698455128995,2.102698455128995,,3.1076313409275884,0.6430028913772604,,3.4903293145685703,3.4903293145685703,,2.660568845473227,0.5491589124487026,
p10,screenStabilized_headConstrained,1.5,2.448437286468643,2.240469964849372,2.510654656925377,2.541241994640867,2.371777931026381,2.5919403848634834,,,0.6656846444760476,3.6802710947466433,4.342188914719838,3.482245818965189,,,0.56930454970968
p10,screenStabilized_walking,1.5,7.102051930724761,8.958742569078474,6.5474519919949605,12.298535617266445,16.465582105556145,11.055128575597818,,,,25.654769486488465,30.841940736995287,24.106332683890734,,,
p10,worldStabilized_bodyConstrained,1.5,1.8933250340757746,1.7245341391520104,1.9438220331111387,2.102390158681583,1.9332172515293176,2.1530014439238125,,,,5.206599375699755,6.090968988797094,4.942023424967033,,,
p10,worldStabilized_sphere,1.5,3.330449169797264,2.4743562784697737,4.346471502361759,4.560446978778453,3.286247235920176,6.072684036236627,,,,19.66164279276719,19.36718816840187,20.011105423882064,,,
p10,worldStabilized_sphere_VR,1.5,4.207936570073018,3.531493426986114,5.01342560431247,5.52121142739058,4.3299321287899595,6.939746294691629,,,,19.4796079497457,19.024880867793264,20.021104738382487,,,
p10,worldStabilized_walking,1.5,4.825361152200552,5.220207070407422,4.707099005217399,6.988791082098917,7.96668196121887,6.695898412965694,,,,21.82855540092931,23.599366799249026,21.2981713999535,,,
p11,calibration,1.5,3.0429900432059394,3.0429900432059394,,3.159567001779007,3.159567001779007,,2.7313683119606127,0.4707363362657778,,3.314762564837543,3.314762564837543,,2.440487484639611,0.41990847076413906,
p11,screenStabilized_headConstrained,1.5,3.2167585538495436,2.836610568508748,3.3305188426740617,3.3119466017507175,2.965951628984797,3.4154867904162867,,,0.6262582375373693,3.3396746723240387,3.8553397030931293,3.1853656478106074,,,0.5578561502348626
p11,screenStabilized_walking,1.5,3.445200543991337,3.479372879418965,3.4348838147228844,5.543425848883274,5.1213616526871775,5.669002251657904,,,,17.106364672559508,15.169509625725265,17.683830772521063,,,
p11,worldStabilized_bodyConstrained,1.5,2.4975762860129374,2.398394082136198,2.5272689676971876,2.7453101038312444,2.781194078589561,2.7345749604048013,,,,4.964407660055212,5.4380974372468796,4.8226464144134145,,,
